A̱o,Negligencias,Rayo,Intencionados,Desconocido,Otras
1969,559,47,250,541,78
1970,1081,112,391,1502,117
1971,619,87,224,726,58
1972,531,69,326,1151,71
1973,1337,146,759,1417,106
1974,1245,98,1077,1423,137
1975,1143,249,1206,521,123
1976,969,446,1386,1721,74
1977,626,43,643,785,51
1978,1324,135,3764,2955,145
1979,975,176,2991,2926,99
1980,1245,189,2690,2914,155
1981,1471,332,4317,4560,200
1982,958,246,2337,2780,121
1983,1098,263,1462,1949,108
1984,1009,188,2843,3013,151
1985,1536,349,4903,5304,192
1986,1146,247,2272,3600,172
1987,1046,375,3284,3834,140
1988,293,143,3808,4089,137
1989,2044,480,8670,7716,164
1990,1530,638,3817,5896,165
1991,1689,807,4957,4592,197
1992,2412,790,8473,4007,213
1993,2256,622,8036,3045,267
1994,2971,825,10542,4529,396
1995,2680,962,17047,4553,314
1996,1859,671,11006,2735,316
1997,2004,665,15624,3797,229
1998,3171,653,13804,3073,1194
1999,3213,789,9751,3383,795
2000,3454,524,14965,3489,1141
2001,2338,748,11646,2712,1092
2002,2231,696,12373,3044,1151
2003,2139,1083,9922,3565,1429
2004,2845,292,12367,3397,1413
2005,5494,976,13861,4372,789
2006,3935,1199,7838,2764,598
2007,3987,471,4626,1961,149
2008,4128,371,5275,1789,93
2009,4435,670,8484,1808,245
2010,2783,493,7075,1124,247
2011,3391,621,10090,1796,516
2012,4562,556,9014,1500,346
2013,2974,657,5580,1274,312
2014,3406,616,4732,927,125
2015,3205,779,6380,1206,240