Año,Grandes incendios,Los mayores incendios
1969,21,"Valencia fue la provincia con más grandes incendios en 1969, un total de 5"
1970,31,"Alicante fue la provincia con más grandes incendios en 1970, un total de 4"
1971,8,"Santander fue la provincia con más grandes incendios en 1971, un total de 2"
1972,17,"Lugo y Oviedo fue la provincia con más grandes incendios en 1972, un total de 3"
1973,20,"Gerona fue la provincia con más grandes incendios en 1973, un total de 4"
1974,45,"Orense fue la provincia con más grandes incendios en 1974, un total de 6"
1975,58,"Pontevedra fue la provincia con más grandes incendios en 1975, un total de 10"
1976,55,"Lugo fue la provincia con más grandes incendios en 1976, un total de 13"
1977,16,"Badajoz y Cádiz fueron las provincias con más grandes incendios en 1977, un total de 2 cada una"
1978,156,"León fue la provincia con más grandes incendios en 1978, un total de 17"
1979,84,"Castellón fue la provincia con más grandes incendios en 1979, un total de 16"
1980,77,"Cádiz fue la provincia con más grandes incendios en 1980, un total de 12"
1981,79,"Castellón fue la provincia con más grandes incendios en 1981, un total de 10"
1982,41,"Barcelona fue la provincia con más grandes incendios en 1982, un total de 4"
1983,32,"Lérida fue la provincia con más grandes incendios en 1983, un total de 7"
1984,53,"Cáceres fue la provincia con más grandes incendios en 1984, un total de 7"
1985,162,"Cáceres fue la provincia con más grandes incendios en 1985, un total de 29"
1986,104,"Cáceres fue la provincia con más grandes incendios en 1986, un total de 15"
1987,35,"Cáceres fue la provincia con más grandes incendios en 1987, un total de 7"
1988,31,"Jaén fue la provincia con más grandes incendios en 1988, un total de 6"
1989,92,"El municipio de Irixo, en Orense, registró el mayor incendio de 1989 con un total de 3.000 hectáreas quemadas"
1990,18,"El municipio de Gestalgar, en Valencia, registró el mayor incendio de 1990 con un total de 9.900 hectáreas quemadas"
1991,73,"El municipio de Yatova, en Valencia, registró el mayor incendio de 1991 con un total de 15.400 hectáreas quemadas"
1992,18,"El municipio de Altura, en Castellón, registró el mayor incendio de 1992 con un total de 5.050 hectáreas quemadas"
1993,26,"El municipio de Beas de Granada, en Granada, registró el mayor incendio de 1993 con un total de 6.222 hectáreas quemadas"
1994,92,"El municipio de Millares, en Valencia, registró el mayor incendio de 1994 con un total de 25.430 hectáreas quemadas"
1995,26,"El municipio de Realejos, en Tenerife, registró el mayor incendio de 1995 con un total de 2.476 hectáreas quemadas"
1996,10,"El municipio de Bercero, en Valladolid, registró el mayor incendio de 1996 con un total de 5.150 hectáreas quemadas"
1997,7,"El municipio de Quiroga, en Lugo, registró el mayor incendio de 1997 con un total de 875 hectáreas quemadas"
1998,25,"El municipio de Aguilar de Secarra, en Barcelona, registró el mayor incendio de 1998 con un total de 12.510 hectáreas quemadas"
1999,16,"El municipio de Lubián, en Zamora, registró el mayor incendio de 1999 con un total de 2.500 hectáreas quemadas"
2000,49,"El municipio de Garriguella, en Gerona, registró el mayor incendio de 2000 con un total de 5.905 hectáreas quemadas"
2001,26,"El municipio de Xert, en Castellón, registró el mayor incendio de 2001 con un total de 3.200 hectáreas quemadas"
2002,18,"El municipio de Torrecilla de los Ángeles, en Cáceres, registró el mayor incendio de 2002 con un total de 2.049 hectáreas quemadas"
2003,43,"El municipio de Portugal, en Cáceres, registró el mayor incendio de 2003 con un total de 9.562 hectáreas quemadas"
2004,20,"El municipio de -, en Sevilla, registró el mayor incendio de 2004 con un total de 18.065 hectáreas quemadas"
2005,48,"El municipio de Riba de Saelices, en Guadalajara, registró el mayor incendio de 2005 con un total de 12.732 hectáreas quemadas"
2006,58,"El municipio de Muxia, en A Coruña, registró el mayor incendio de 2006 con un total de 2.842 hectáreas quemadas"
2007,16,"El municipio de Tejeda, en Las Palmas, registró el mayor incendio de 2007 con un total de 18.672 hectáreas quemadas"
2008,6,"El municipio de Zuera, en Zaragoza, registró el mayor incendio de 2008 con un total de 2.131 hectáreas quemadas"
2009,35,"El municipio de Aliaga, en Teruel, registró el mayor incendio de 2009 con un total de 6.877 hectáreas quemadas"
2010,11,"El municipio de Ontiyent, en Valencia, registró el mayor incendio de 2010 con un total de 2.512 hectáreas quemadas"
2011,24,"El municipio de Manzaneda, en Orense, registró el mayor incendio de 2011 con un total de 3.236 hectáreas quemadas"
2012,42,"El municipio de Cortés de Pallás, en Valencia, registró el mayor incendio de 2012 con un total de 28.879 hectáreas quemadas"
2013,17,"El municipio de Andratx, en Baleares, registró el mayor incendio de 2013 con un total de 2.347 hectáreas quemadas"
2014,7,"El municipio de Alhama de Almería, en Almería, registró el mayor incendio de 2014 con un total de 3.259 hectáreas quemadas"
2015,46,"El municipio de Quesada, en Jaén, registró el mayor incendio de 2015 con un total de 9.756 hectáreas quemadas"
2016,22,"El municipio de El Paso, en Tenerife, registró el mayor incendio de 2016 con un total de 4.793 hectáreas quemadas"
2017,56,"El municipio de Encinedo, en León, registró el mayor incendio de 2017 con un total de 9.820 hectáreas quemadas"
2018,3,"El municipio de Llutxent, en Valencia, registró el mayor incendio de 2018 con un total de 3.146 hectáreas quemadas"
2019,14,"El municipio de Valleseco, en Las Palmas, registró el mayor incendio de 2019 con un total de 8.498 hectáreas quemadas"